process,location,material,old_gwp,patched_gwp,difference,percent_change,reason_for_change,notes
Bauxite mining,AU,bauxite,0.0,0.0121641773884825,0.0121641773884825,inf,bauxite mine operation proxy added as separate burden,Uses bauxite mine operation | bauxite | GLO while process_location follows topology.
Bauxite mining,CN,bauxite,0.0,0.0121641773884825,0.0121641773884825,inf,bauxite mine operation proxy added as separate burden,Uses bauxite mine operation | bauxite | GLO while process_location follows topology.
Bauxite mining,GR,bauxite,0.0,0.0121641773884825,0.0121641773884825,inf,bauxite mine operation proxy added as separate burden,Uses bauxite mine operation | bauxite | GLO while process_location follows topology.
Bauxite mining,KZ,bauxite,0.0,0.0121641773884825,0.0121641773884825,inf,bauxite mine operation proxy added as separate burden,Uses bauxite mine operation | bauxite | GLO while process_location follows topology.
Bayer liquor refining,AU,4N_Ga,232.6007719372716,232.6007719372716,0.0,0.0,unchanged by targeted patch,
Bayer liquor refining,CA,4N_Ga,158.66057136840146,162.8921921494397,4.231620781038231,2.6670903454725567,non-targeted rerun shift from ambiguous sulfuric acid background matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for sulfuric acid production; patch-v2 did not edit this node recipe.
Bayer liquor refining,CN,4N_Ga,243.5458384796628,243.5458384796628,0.0,0.0,unchanged by targeted patch,
Bayer liquor refining,GR,4N_Ga,218.43270476765971,222.6643255838839,4.2316208162241935,1.9372652189264612,non-targeted rerun shift from ambiguous sulfuric acid background matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for sulfuric acid production; patch-v2 did not edit this node recipe.
Bayer liquor refining,KZ,4N_Ga,236.00373718304596,240.2353579914781,4.2316208084321545,1.793031271004867,non-targeted rerun shift from ambiguous sulfuric acid background matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for sulfuric acid production; patch-v2 did not edit this node recipe.
Bayer liquor refining,US,4N_Ga,190.49165753768983,190.4916575868105,4.9120671974378645e-08,2.5786258888875402e-08,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
Bayer process / alumina refining,AU,Bayer_liquor,1.0327876677477554,0.9423943599397614,-0.090393307807994,-8.752361267550631,black-box aluminium oxide proxy replaced with bauxite-excluded extracted unit-process exchanges,Bauxite input burden excluded from alumina/Bayer proxy to preserve step-wise boundary.
Bayer process / alumina refining,CA,Bayer_liquor,1.0218086043202586,0.9621726967300448,-0.0596359075902137,-5.836309005235434,black-box aluminium oxide proxy replaced with bauxite-excluded extracted unit-process exchanges,Bauxite input burden excluded from alumina/Bayer proxy to preserve step-wise boundary.
Bayer process / alumina refining,CN,Bayer_liquor,2.872921877211918,2.7969066528871847,-0.0760152243247334,-2.6459203408100964,black-box aluminium oxide proxy replaced with bauxite-excluded extracted unit-process exchanges,Bauxite input burden excluded from alumina/Bayer proxy to preserve step-wise boundary.
