process_from,loc_from,process_to,loc_to,material,notes
chemical transformation,CN,magnet manufacturing,EE,neodynium dysprosium iron alloy,Alloy trade to magnet mfg. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
chemical transformation,CN,magnet manufacturing,JP,neodynium dysprosium iron alloy,Alloy trade to magnet mfg. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
chemical transformation,CN,magnet manufacturing,US,neodynium dysprosium iron alloy,Alloy trade to magnet mfg. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
chemical transformation,EE,magnet manufacturing,CN,neodynium dysprosium iron alloy,Alloy trade to magnet mfg. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
chemical transformation,EE,magnet manufacturing,JP,neodynium dysprosium iron alloy,Alloy trade to magnet mfg. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
chemical transformation,EE,magnet manufacturing,US,neodynium dysprosium iron alloy,Alloy trade to magnet mfg. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
chemical transformation,JP,magnet manufacturing,EE,neodynium dysprosium iron alloy,Alloy trade to magnet mfg. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
chemical transformation,JP,magnet manufacturing,US,neodynium dysprosium iron alloy,Alloy trade to magnet mfg. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
chemical transformation,US,magnet manufacturing,EE,neodynium dysprosium iron alloy,Alloy trade to magnet mfg. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
chemical transformation,US,magnet manufacturing,JP,neodynium dysprosium iron alloy,Alloy trade to magnet mfg. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
clay refining,AU,metallothermic reduction,CN,dysprosium_oxide,AU Lynas oxide exports. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
clay refining,AU,metallothermic reduction,EE,dysprosium_oxide,AU Lynas oxide exports. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
clay refining,AU,metallothermic reduction,JP,dysprosium_oxide,AU Lynas oxide exports. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
clay refining,AU,metallothermic reduction,US,dysprosium_oxide,AU Lynas oxide exports. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
clay refining,AU,molten_salt electrolysis,CN,neodynium_oxide,AU Lynas oxide exports. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
clay refining,AU,molten_salt electrolysis,JP,neodynium_oxide,AU Lynas oxide exports. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
clay refining,AU,molten_salt electrolysis,US,neodynium_oxide,AU Lynas oxide exports. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
clay refining,BR,metallothermic reduction,EE,dysprosium_oxide,BR Serra Verde oxide exports. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
clay refining,BR,metallothermic reduction,US,dysprosium_oxide,BR Serra Verde oxide exports. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
clay refining,BR,molten_salt electrolysis,EE,neodynium_oxide,BR Serra Verde oxide exports. Sources: USGS Mineral Commodity Summaries (Rare Earth Elements); U.S. Department of Energy.
