time_period,loc_from,loc_to,distance_km,shipping_cost_usd_per_kg,mode,notes
0,AU,BR,14200,0.0639,ocean,Australia (Melbourne/Perth avg) to Brazil (Santos); ocean; placeholder distance estimate — pending data team validation
0,AU,CA,13200,0.0594,ocean,Australia (Melbourne/Perth avg) to Canada (Vancouver); ocean; placeholder distance estimate — pending data team validation
0,AU,CN,8900,0.0401,ocean,Australia (Melbourne/Perth avg) to China (Shanghai); ocean; placeholder distance estimate — pending data team validation
0,AU,EE,16500,0.0742,ocean,Australia (Melbourne/Perth avg) to Estonia (Tallinn); ocean; placeholder distance estimate — pending data team validation
0,AU,JP,8200,0.0369,ocean,Australia (Melbourne/Perth avg) to Japan (Yokohama); ocean; placeholder distance estimate — pending data team validation
0,AU,MM,5800,0.0261,ocean,Australia (Melbourne/Perth avg) to Myanmar (Yangon); ocean; placeholder distance estimate — pending data team validation
0,AU,MY,4100,0.025,ocean,Australia (Melbourne/Perth avg) to Malaysia (Port Klang); ocean; placeholder distance estimate — pending data team validation
0,AU,US,12700,0.0571,ocean,Australia (Melbourne/Perth avg) to United States (Los Angeles / New York); ocean; placeholder distance estimate — pending data team validation
0,BR,AU,14200,0.0639,ocean,Brazil (Santos) to Australia (Melbourne/Perth avg); ocean; placeholder distance estimate — pending data team validation
0,BR,CA,11500,0.0518,ocean,Brazil (Santos) to Canada (Vancouver); ocean; placeholder distance estimate — pending data team validation
0,BR,CN,19500,0.0878,ocean,Brazil (Santos) to China (Shanghai); ocean; placeholder distance estimate — pending data team validation
0,BR,EE,10500,0.0473,ocean,Brazil (Santos) to Estonia (Tallinn); ocean; placeholder distance estimate — pending data team validation
0,BR,JP,18500,0.0833,ocean,Brazil (Santos) to Japan (Yokohama); ocean; placeholder distance estimate — pending data team validation
0,BR,MM,18000,0.081,ocean,Brazil (Santos) to Myanmar (Yangon); ocean; placeholder distance estimate — pending data team validation
0,BR,MY,17500,0.0788,ocean,Brazil (Santos) to Malaysia (Port Klang); ocean; placeholder distance estimate — pending data team validation
0,BR,US,9200,0.0414,ocean,Brazil (Santos) to United States (Los Angeles / New York); ocean; placeholder distance estimate — pending data team validation
0,CA,AU,13200,0.0594,ocean,Canada (Vancouver) to Australia (Melbourne/Perth avg); ocean; placeholder distance estimate — pending data team validation
0,CA,BR,11500,0.0518,ocean,Canada (Vancouver) to Brazil (Santos); ocean; placeholder distance estimate — pending data team validation
