time_period,process,location,material,capacity,notes
0,beneficiation,AU,flurocarbonate,17000000,Placeholder — tune with real data
0,beneficiation,AU,phosphate,8750000,Placeholder — tune with real data
0,beneficiation,CN,flurocarbonate,185000000,Placeholder — tune with real data
0,beneficiation,CN,phosphate,10000000,Placeholder — tune with real data
0,beneficiation,US,flurocarbonate,58000000,Placeholder — tune with real data
0,beneficiation,US,phosphate,0,Placeholder — tune with real data
0,chemical transformation,CN,neodynium dysprosium iron alloy,185000000,Placeholder — tune with real data
0,chemical transformation,EE,neodynium dysprosium iron alloy,2500000,Neo alloy production for Narva magnet plant
0,chemical transformation,JP,neodynium dysprosium iron alloy,35000000,Placeholder — tune with real data
0,chemical transformation,US,neodynium dysprosium iron alloy,1500000,Placeholder — tune with real data
0,clay mining,AU,ion adsorption clay,0,Placeholder — tune with real data
0,clay mining,BR,ion adsorption clay,300000,Brazil Serra Verde IAC; all 4 magnet REEs including Dy Tb
0,clay mining,CN,ion adsorption clay,200000000,Placeholder — tune with real data
0,clay mining,MM,ion adsorption clay,15000000,Myanmar Kachin State IAC; volatile — 5% annual decline risk
0,clay refining,AU,dysprosium_oxide,0,Placeholder — tune with real data
0,clay refining,AU,neodynium_oxide,0,Placeholder — tune with real data
0,clay refining,BR,dysprosium_oxide,0,Brazil Serra Verde DyOx; only non-CN IAC Dy+Tb source
0,clay refining,BR,neodynium_oxide,100000,Brazil Serra Verde oxide output
0,clay refining,CN,dysprosium_oxide,2800000,Placeholder — tune with real data
0,clay refining,CN,neodynium_oxide,10000000,Placeholder — tune with real data
0,clay refining,MM,dysprosium_oxide,800000,Myanmar in-situ leach; DyOx-rich IAC (8-12% Dy concentration)
0,clay refining,MM,neodynium_oxide,0,Myanmar in-situ leach; NdOx minor fraction
0,cryogenic,US,neodynium dysprosium iron alloy,0,Placeholder — tune with real data
0,direct reuse,US,hp_magnet,0,Placeholder — tune with real data
0,hydrochloric acid digestion,AU,dysprosium_oxide,0,Placeholder — tune with real data
0,hydrochloric acid digestion,AU,neodynium_oxide,0,Placeholder — tune with real data
0,hydrochloric acid digestion,CN,dysprosium_oxide,400000,Placeholder — tune with real data
0,hydrochloric acid digestion,CN,neodynium_oxide,72500000,Placeholder — tune with real data
0,hydrochloric acid digestion,EE,dysprosium_oxide,150000,Neo Silmet HREE
0,hydrochloric acid digestion,EE,neodynium_oxide,900000,Neo Silmet secondary circuit
0,hydrochloric acid digestion,MY,dysprosium_oxide,90000,Lynas LAMP HCAD HREE
0,hydrochloric acid digestion,MY,neodynium_oxide,4500000,Lynas LAMP secondary HCAD circuit
0,hydrochloric acid digestion,US,dysprosium_oxide,0,Placeholder — tune with real data
0,hydrochloric acid digestion,US,neodynium_oxide,0,Placeholder — tune with real data
0,hydrometallurgical,US,neodynium dysprosium iron alloy,100000,Placeholder — tune with real data
0,magnet manufacturing,CN,hp_magnet,210000000,Placeholder — tune with real data
0,magnet manufacturing,EE,hp_magnet,2000000,"Neo Narva NdFeB plant; 2000 t/yr Phase1A 2025, scaling to 5000"
0,magnet manufacturing,JP,hp_magnet,24500000,Placeholder — tune with real data
0,magnet manufacturing,US,hp_magnet,2000000,Placeholder — tune with real data
0,magnet-to-magnet recycling,US,hp_magnet,750000,Placeholder — tune with real data
0,magnet_market_mix,US,hp_magnet,10000000,Placeholder — tune with real data
0,metallothermic reduction,CN,dysprosium,2800000,Placeholder — tune with real data
0,metallothermic reduction,EE,dysprosium,40000,Neo Silmet Dy metal
0,metallothermic reduction,JP,dysprosium,50000,Placeholder — tune with real data
0,metallothermic reduction,US,dysprosium,0,Placeholder — tune with real data
0,mining,AU,bastnasite,20000000,Placeholder — tune with real data
0,mining,AU,monazaite,18000000,Placeholder — tune with real data
0,mining,BR,bastnasite,200000,Brazil Serra Verde Pela Ema; Phase 1 2024; HREE-rich IAC deposit
0,mining,BR,monazaite,100000,Brazil monazite sands placeholder
0,mining,CA,bastnasite,0,Canada placeholder; 14M MT reserves; DOD-backed projects ramping
0,mining,CA,monazaite,0,Canada placeholder; monazite sands
0,mining,CN,bastnasite,168000000,Placeholder — tune with real data
0,mining,CN,monazaite,40000000,Placeholder — tune with real data
0,mining,US,bastnasite,43000000,Placeholder — tune with real data
0,mining,US,monazaite,0,Placeholder — tune with real data
0,molten_salt electrolysis,CN,neodynium,32000000,Placeholder — tune with real data
0,molten_salt electrolysis,EE,neodynium,1500000,Neo Silmet metal reduction
0,molten_salt electrolysis,JP,neodynium,8000000,Placeholder — tune with real data
0,molten_salt electrolysis,US,neodynium,0,Placeholder — tune with real data
0,pyrometallurgical,US,neodynium dysprosium iron alloy,0,Placeholder — tune with real data
0,sulfuric acid digestion,AU,dysprosium_oxide,0,Placeholder — tune with real data
